Name;Kbps;Energy_1;Energy_2;Energy_3;Peak_hist_1;Peak_hist_2;Peak_hist_3;Mood
 AC/DC - High Voltage ;128;10611.061;19708.36;19178.224;4;6;5;excited
 AC/DC - She's Got Balls ;128;14171.65;14586.05;13383.98;5;4;3;excited
 AC/DC - Little Lover ;128;17748.725;10738.085;13033.86;7;0;0;excited
 AC/DC - Can I Sit Next To You Girl ;128;14070.077;17295.509;12486.436;5;0;0;excited
 AC/DC - T.N.T.;128;17330.848;17909.559;15444.27;6;0;0;excited
 AC/DC - Live Wire ;128;9540.448;17265.133;15608.376;5;0;0;excited
 AC/DC - The Jack ;128;17867.793;13859.642;13390.116;6;1;1;happy
 AC/DC - Rock 'n' Roll Singer ;128;14482.523;14440.461;12230.537;4;3;0;happy
 AC/DC - It's A Long Way To The Top ;128;18945.598;11905.164;16058.653;5;2;1;excited
 AC/DC - Baby, Please Don't Go ;128;12708.392;13664.793;11674.59;4;3;2;excited
 AC/DC - Back In Black ;192;15564.624;23282.258;15735.063;5;4;5;excited
 AC/DC - Highway To Hell ;192;13791.104;23222.318;18626.062;5;7;0;excited
 Aephanemer - Alive ;270;24001.125;35816.372;29765.951;7;9;8;excited
 Aephanemer - Who You Really Are ;287;13410.293;22542.175;20542.373;5;5;6;excited
 Aephanemer - Path of the Wolf ;276;17117.65;28369.785;17963.84;5;8;6;excited
 Aephanemer - Inner Storm ;278;22731.558;30136.595;21338.826;7;8;7;excited
 Aephanemer - Dreams ;276;21895.59;29964.313;21328.687;7;8;6;happy
 Aephanemer - Resilience ;245;34601.496;32093.064;8264.14;9;8;1;excited
 Amorphis - Two Moons ;320;24046.613;25735.67;19394.964;6;6;5;excited
 Amorphis - House Of Sleep ;320;19794.167;25814.31;26122.285;5;9;9;excited
 Apocalyptica - Worlds Collide ;320;22722.119;25782.087;24009.888;8;0;0;sad
 Apocalyptica - Grace ;320;23602.142;26250.401;22191.489;7;9;8;sad
 Apocalyptica - I'm Not Jesus ;320;21760.471;28170.556;19078.653;6;9;6;sad
 Apocalyptica - Ion ;320;22446.4;26090.896;24259.13;7;9;8;sad
 Apocalyptica - Burn ;320;34874.827;26235.354;18311.174;9;0;0;sad
 Apocalyptica - SOS  ;320;24931.98;27852.945;25031.264;7;0;7;sad
 Apocalyptica - Peace ;320;22504.033;22612.869;22561.947;7;8;7;sad
 Bee Gees - Night Fever ;320;23372.914;23244.226;19836.479;8;0;0;happy
 Bee Gees - Secret Love ;320;27802.633;24293.141;21424.522;8;8;7;happy
Beeges - To love somebody;320;20524.184;22774.082;20916.831;7;0;0;sad
 BEE GEES - TRAGEDY ;320;27997.139;21804.348;19741.68;8;0;0;excited
 Bee Gees - Words ;128;23807.239;16109.978;12632.497;6;4;5;sad
 Bee Gees - You Win Again ;128;18478.134;15603.043;9772.741;5;5;2;happy
 Bee Gees - Above And Beyond ;128;19297.159;20470.084;8855.037;5;0;0;happy
 Beegees - Alone  ;160;13683.822;13509.418;9488.653;4;2;4;happy
 Bee Gees - Don't Forget To Remember ;128;9089.611;13408.3;10345.41;4;3;4;happy
 Bee Gees - More Than A Woman ;179;17955.727;16336.399;5439.259;7;0;0;happy
;128;18382.358;11990.47;11460.638;4;0;0;
 Caravan Palace - Star Scat ;128;9857.768;17016.69;14364.99;4;6;5;happy
 Caravan Palace - Ended With The Night ;128;19956.039;10303.831;10122.822;0;0;0;sad
 Caravan Palace - Jolie Coquine ;128;21004.259;18910.24;13093.02;6;0;5;excited
 Caravan Palace - Oooh ;320;16622.398;22237.832;12127.022;0;6;0;sad
 Caravan Palace - Suzy ;320;14269.795;14769.86;10134.24;6;5;0;excited
 Caravan Palace - Je M'amuse ;320;17045.897;11081.14;2387.898;5;0;0;happy
 Caravan Palace - Violente Valse ;320;12603.031;18061.496;7553.189;0;5;0;happy
 Caravan Palace - Brotherswing ;320;18449.793;16824.659;4753.186;0;0;0;excited
 Caravan Palace - L'envol ;320;13056.147;18155.163;11798.225;5;5;5;happy
 Caravan Palace - Sofa ;320;15862.587;17509.399;7803.858;7;2;0;sad
 Caravan Palace - Bambous ;320;20612.949;23639.642;10621.082;0;0;0;excited
 Caravan Palace - Lazy Place ;320;18478.118;21728.288;12252.178;0;6;5;happy
 Caravan Palace - We Can Dance ;320;23852.927;24308.257;12146.952;8;0;0;excited
 Caravan Palace - La Caravane ;320;23460.394;17904.533;11146.249;0;0;3;excited
 Caravan Palace - Dragons ;320;14245.417;15881.916;7716.869;3;4;3;excited
 Caravan Palace - Queens ;320;16002.053;17680.708;6863.519;0;0;0;sad
 Caravan Palace - Maniac ;320;21854.292;19636.152;16222.439;7;6;0;excited
 Caravan Palace - The Dirty Side Of The Street ;320;13338.285;16718.479;4723.167;0;0;3;excited
 Caravan Palace - 12 Juin 3049 ;320;20934.487;19629.667;9999.791;8;0;0;happy
 Caravan Palace - Rock It For Me ;320;16100.947;12141.744;4964.256;5;1;3;excited
 Caravan Palace - Clash ;320;16061.271;15650.87;5431.717;5;0;2;excited
 Caravan Palace - Newbop ;320;14753.45;11037.625;5785.722;4;0;0;excited
 Caravan Palace - Glory Of Nelly ;320;16125.383;16678.377;9835.056;0;0;0;happy
 Caravan Palace - Dramophone ;320;19936.704;14177.508;11672.552;6;3;6;excited
 Caravan Palace - Cotton Heads ;320;12889.501;13450.46;3840.941;0;0;0;excited
 Caravan Palace - Panic ;320;11454.189;14756.931;5954.536;0;0;0;excited
 Caravan Palace - Pirates ;320;10553.428;14363.299;6139.868;5;5;0;happy
 Caravan Palace - Beatophone ;320;17897.947;11990.684;4668.191;7;4;0;excited
 Caravan Palace - Sydney ;320;8810.107;12839.098;5767.084;0;2;0;sad
 Eminem - The Way I Am ;320;18456.332;12812.173;6187.944;6;2;0;sad
 Eminem - My Name Is ;320;10757.556;13687.25;4048.652;4;4;2;happy
 Eminem - Stan ;320;23016.708;16276.391;11608.258;0;0;0;sad
 Eminem - Lose Yourself ;128;21379.98;17521.83;9912.935;4;0;0;excited
 Eminem - Shake That ;128;19998.894;15034.122;7993.174;8;6;2;happy
 Eminem - Sing For The Moment ;128;9146.346;12533.222;10347.364;3;3;4;excited
 Eminem - Without Me ;128;11608.184;13618.383;6662.777;2;3;2;excited
 Eminem - Like Toy Soldiers ;128;16821.444;7569.338;5990.683;5;3;1;happy
 Eminem - The Real Slim Shady ;128;16048.148;13451.842;9334.547;5;0;4;excited
 Eminem - Mockingbird ;128;11179.552;10901.986;6605.448;5;3;2;sad
 Eminem - Guilty Conscience ;128;13482.034;10828.608;9538.744;5;4;4;happy
 Eminem - Cleanin' Out My Closet ;128;6163.483;9018.544;6150.778;2;0;2;sad
 Eminem - Just Lose It ;128;15742.92;13096.999;8278.16;6;5;2;excited
 Eminem - When I'm Gone ;128;9035.701;10491.378;3546.991;2;3;1;sad
 Eminem - Stan (live);128;11058.193;7966.695;6452.823;2;1;2;sad
 Eminem - Intro ;128;13909.627;12934.368;7061.993;0;0;0;happy
 Eminem - Fack ;128;5612.662;8326.318;7061.311;2;2;3;excited
 Johann Sebastian Bach - Adagio  ;128;9301.193;10423.04;5336.77;2;3;3;sad
 Johann Sebastian Bach - Air Sur La Corde De Sol ;128;9109.675;11936.169;7502.138;0;4;2;sad
 Prelude ;128;17790.144;9678.359;9142.307;5;4;4;sad
 Johann Sebastian Bach - Tocatta et Fugue en Ré Mineur ;160;15542.498;17347.615;12835.91;3;4;0;sad
 Johann Sebastian Bach - Violin Concerto 1 In A Minor, Allegro ;320;19163.414;19235.45;16543.322;0;0;0;happy
 Johnny Cash - Rock Island Line ;128;15522.853;14052.786;12174.129;0;0;0;happy
 Johnny Cash - I Heard That Lonesome Whistle ;128;14604.499;13695.092;15607.315;0;0;4;sad
 Johnny Cash - If The Good Lord's Willing ;160;15546.72;14364.577;12653.349;0;0;0;happy
 Johnny Cash - Country Boy ;192;17730.044;13764.089;11504.489;4;0;0;happy
 Johnny Cash - Cry! Cry! Cry ;128;13172.113;9428.97;8697.636;0;0;0;excited
 Johnny Cash - So Doggone Lonesome ;128;18295.465;13059.159;13666.171;3;0;2;happy
 Johnny Cash - Remember Me ;147;16158.583;13288.668;13423.954;3;0;3;sad
 Johnny Cash - I Was There When It Happened ;128;18392.13;11745.323;5542.28;3;0;0;sad
 Johnny Cash - I Walk The Line ;320;16806.628;8596.645;6594.0;2;0;0;happy
 Johnny Cash - Wreck of the Old 97 ;192;14628.829;10304.66;8806.296;0;0;0;excited
 Johnny Cash - Folsom Prison Blues ;128;13683.809;12043.88;12771.525;2;0;3;happy
 Johnny Cash - Doin' My Time ;128;14654.362;7827.263;12337.417;3;0;4;happy
 Katatonia - The Parting ;192;22490.083;16157.676;15739.013;6;1;4;sad
 Katatonia - The One You Are Looking For Is Not Here  ;192;14267.537;9743.181;8351.685;2;0;2;sad
 Katatonia - Hypnone ;192;17274.271;12378.676;11895.564;4;2;4;sad
 Katatonia - The Racing Heart ;320;16003.722;9448.412;7627.299;3;0;0;sad
 Katatonia - Buildings ;320;20958.87;16230.097;9968.691;0;0;0;sad
 Katatonia - Leech ;320;25166.397;17064.332;8838.933;6;0;0;sad
 Katatonia - Ambitions ;320;24571.731;15966.404;10111.064;0;0;0;sad
 Katatonia - Undo You ;320;24898.307;13254.116;7810.152;6;0;0;sad
 Katatonia - Lethean ;320;19147.155;15158.178;8177.246;0;0;0;sad
 Katatonia - First Prayer ;320;22417.62;13971.468;8256.178;0;0;0;sad
 Katatonia - Dead Letters ;320;18063.853;12709.142;7704.398;4;0;0;sad
Les Rabbins Volants - Coin Coin;320;22849.456;12266.926;11261.756;0;0;0;excited
 Oldelaf & Monsieur D - Café ;320;23795.588;13550.442;10051.289;0;0;0;excited
 Oldelaf & Monsieur D - Ce Soir ;320;21713.841;12535.284;8037.651;4;0;0;sad
 Oldelaf & Monsieur D - Confessions Intimes ;64;25562.001;21382.426;17202.944;7;5;0;sad
 Oldelaf & Monsieur D - Ker Chansonec ;192;17130.804;11637.736;9959.676;7;0;0;happy
 Oldelaf & Monsieur D - Une Chanson ;128;18409.138;9737.124;12802.679;8;0;0;sad
The Doors - 01 - Break on Through (To the Other Side).mood;160;17446.726;10983.728;8540.986;0;0;0;excited
The Fratellis - 01 - Henrietta.mood;160;19857.5;12906.131;9476.669;5;0;3;sad
The Offspring - 06 - Feelings.mood;128;20069.683;12904.653;9313.459;0;0;0;sad
The Trashmen - Surfin' Bird.mood;320;15486.903;16768.308;18988.437;5;0;0;excited
Turisas - 09 - The Bosphorus Freezes Over.mood;128;17177.614;22863.717;16989.774;6;5;6;happy
Vision Divine - Take On Me (Aha).mood;192;19931.766;23252.528;16933.836;5;7;5;excited
Windir - 04 - Svartesmeden Og Lundamyrstrollet.mood;320;22196.919;14154.486;19446.033;6;0;5;excited
Woodkid - 02 - Run Boy Run.mood;205;19021.301;17830.027;16356.583;0;0;0;sad
Yann Tiersen - Summer 78.mood;192;34166.253;22440.203;16641.572;8;6;4;sad
Yngwie Malmsteen - Leonardo.mood;192;21747.593;26007.279;28121.129;6;7;8;sad
ZZ Top - Tush.mood;320;27687.277;23807.212;14169.596;8;8;5;sad
Lillasyster - 03 - SÃ¥ JÃ¤vla Bra.mood;192;20734.449;19069.665;14743.651;0;0;7;excited
M83 - Midnight City (Eric Prydz Private Remix).mood;160;25700.678;21147.019;15401.943;7;5;5;sad
Michael Jackson - Smooth Criminal.mood;128;24351.296;14922.282;11796.963;8;3;1;happy
Mors Principium Est - The Glass Womb.mood;192;17235.822;24498.71;18583.396;6;7;6;excited
Nelly Furtado - Try.mood;320;9969.501;23112.098;15018.833;2;0;0;sad
Noir DÃ©sir - Aux Sombres HÃ©ros De L'Amer.mood;128;15262.226;9956.568;10278.31;6;2;4;sad
Oldelaf & Monsieur D - CafÃ©.mood;320;24105.585;20147.85;14616.026;0;0;0;sad
Omnium Gatherum - 09 - Living in Me.mood;128;20750.428;12866.986;13719.71;0;0;0;happy
Orelsan - Ils Sont Cools.mood;320;18969.796;23683.81;8500.427;7;7;1;sad
OVERWERK - Matter.mood;192;17130.804;11637.736;9959.676;7;0;0;happy
Parov Stelar - 04 - Clap Your Hands.mood;320;23337.488;23568.234;24191.647;7;0;6;happy
Powerglove - 02 - Gotta Catch 'em All (Pokemon).mood;246;16990.973;9261.386;10321.782;5;2;4;sad
R.E.M. - 07 - Monty Got a Raw Deal.mood;320;17181.065;14159.859;15109.79;5;6;5;happy
Rammstein - 06 - Mutter.mood;320;14464.329;13186.017;10071.861;3;2;2;sad
Ratatat - 09 - Sunblocks.mood;320;25092.781;26285.874;18073.438;7;6;5;happy
Requiem for a Dream - Lux Aeterna.mood;128;16751.43;15393.211;10088.827;0;0;0;sad
Rone - Sing Song.mood;192;27626.946;25811.287;17624.104;8;0;0;excited
Sabaton - 03 - Smoking Snakes.mood;320;22812.802;20027.161;13478.715;0;0;0;happy
Sia - 10 - Fire Meet Gasoline.mood;128;21810.615;13734.831;12500.282;5;0;0;sad
Sia - 11 - Cellophane.mood;320;14151.83;18053.564;12967.562;3;0;0;happy
Skrillex - First Of The Year (Equinox).mood;268;26173.271;26322.901;17872.958;7;7;5;excited
Smash Into Pieces - 02 - Heroes (As We Are).mood;320;23740.177;23599.916;21758.369;8;7;7;sad
Tenacious D - 01 - Kickapoo.mood;320;17468.163;13639.215;13219.83;5;0;0;happy
The Bloody Beetroots ft. CÃ©cile - Have Mercy On Us.mood;320;19669.168;19631.268;19767.37;7;0;7;excited
The Dandy Warhols - 08 - Sleep.mood;320;28501.59;27241.276;19676.221;8;6;6;happy
Eluveitie - 03 - Brictom.mood;320;16447.793;15764.203;14404.321;7;0;0;sad
Eminem - 10 - Like Toy Soldiers.mood;128;7944.419;19093.473;12818.296;0;6;0;sad
Engel - 04 - The Hurricane Season.mood;218;22489.737;15948.481;12569.05;6;4;4;sad
Ensiferum - 11 - Neito Pohjolan.mood;320;23712.057;19795.274;18196.512;7;6;6;happy
Finntroll - Svart Djup.mood;128;15742.92;13096.999;8278.16;6;5;2;happy
Francky Vincent - Fruit de la Passion.mood;290;18116.096;15564.476;19372.508;7;4;5;sad
Gojira - 12 - Global Warming.mood;320;20825.548;16715.254;7930.967;7;4;2;sad
Gregorian - The Unforgiven.mood;192;23597.896;20298.757;12391.001;8;5;0;happy
Gunther - Ding Dong Song.mood;192;16047.992;13571.067;9459.523;6;4;3;sad
In Flames - 07 - When The World Explodes (feat. Emilia Feld).mood;320;22425.658;22026.691;15584.144;6;4;5;sad
Infected Mushroom - 08 - Zoan Zound.mood;192;22027.12;21379.651;14370.419;0;0;0;excited
Insomnium - 02 - While We Sleep.mood;192;18682.161;13766.015;12182.636;7;6;5;happy
John Murphy - In The House - In a Heartbeat.mood;320;20537.472;16330.365;16608.481;6;3;0;happy
Johnny Cash - 09 - I Walk The Line.mood;320;10680.728;11927.936;8433.701;2;1;0;happy
Johnossi - 05 - Man Must Dance.mood;320;19009.538;28686.368;28455.485;6;8;8;sad
Judas Priest - Before The Dawn.mood;189;15266.969;13133.471;12808.149;0;0;0;excited
Katatonia - 01 - The Parting.mood;128;14654.362;7827.263;12337.417;3;0;4;happy
Katy Perry - Roar.mood;163;19638.26;11001.359;8550.3;7;0;0;excited
Kavinsky - 08 - Nightcall.mood;192;21912.461;16709.777;17505.946;0;0;0;sad
Kitaro - Caravansary.mood;320;16003.722;9448.412;7627.299;3;0;0;sad
Korn - 01 - Twist.mood;145;19077.862;19054.583;15158.463;4;0;0;excited
Korn - 01 - Word Up!.mood;256;19248.192;10212.678;8367.522;6;2;0;sad
KT Tunstall - Suddenly I See.mood;128;15098.757;20186.123;12509.97;0;0;0;excited
La Femme - Sur la Planche 2013.mood;128;22426.248;16800.473;14747.348;0;0;0;excited
Leprous - 03 - Dare You.mood;128;23033.652;26651.714;22183.673;7;7;6;happy
AC DC - 09 - High Voltage.mood;320;13475.368;15023.766;10252.126;4;2;1;excited
Amorphis - 07 - The Smoke.mood;260;13627.969;24268.912;14244.788;5;9;0;excited
Anathema - Temporary Peace.mood;215;24578.876;21299.744;20872.788;7;2;7;excited
Antonio Vivaldi - Les Quatres Saisons - L'hiver.mood;128;18945.598;11905.164;16058.653;5;2;1;sad
Ashley MacIsaac - Belle Cote.mood;320;23550.088;34329.041;29201.4;7;9;8;sad
Avatar - 02 - Torn Apart.mood;128;16875.749;19881.057;10368.151;0;0;0;happy
Ayreon - Age Of Shadows (Incl. We Are Forever).mood;320;8274.137;11322.499;11255.231;0;0;0;sad
Billy Talent - 05 - Pins And Needles.mood;199;23879.977;27463.028;9152.952;7;8;3;happy
Black Stone Cherry - 05 - Runaway.mood;320;17438.07;21702.083;18428.325;6;0;7;excited
Brokeback Mountain - The Wings.mood;320;18328.859;18613.221;16397.381;7;0;0;happy
Camille Saint-Saens - Carnaval Des Animaux, Aquarium.mood;192;16725.735;18144.84;15037.592;6;2;0;sad
Caravan Palace - 01 - Dragons.mood;320;23113.251;26382.423;23178.703;7;8;7;sad
Casseurs Flowters - 17 - 06h16 - Des Histoires Ã  Raconter.mood;320;18249.577;14048.635;8671.761;0;0;0;excited
Celkilt - 02 - Let Me Out.mood;320;18901.378;18445.447;18276.362;0;0;0;happy
Daft Punk - Verdis Quo.mood;320;16622.398;22237.832;12127.022;0;6;0;excited
David Bowie - Space Oddity.mood;243;8824.844;7533.051;6916.095;0;0;0;excited
Dead Can Dance - The Host Of Seraphim.mood;320;20821.278;21763.193;17037.243;6;6;7;sad
Deadmau5 - There Might Be Coffee.mood;128;6998.675;16939.562;8728.928;4;0;4;excited
Deftones - Change (In the House of Flies).mood;128;26804.527;15754.014;8912.332;8;0;0;happy
Delain - 08 - Lullaby.mood;177;23541.571;21850.558;19395.708;6;0;0;excited
Demon Hunter - 12 - The Heart of a Graveyard.mood;248;6775.002;13441.799;9160.679;4;4;0;excited
Dido - White Flag.mood;128;17759.968;28760.802;18229.504;6;8;6;sad
Dropkick Murphys - 12 - Peg O' My Heart.mood;281;25986.396;26108.584;17829.995;7;8;6;happy
Elliott Smith - 10 - A Passing Feeling.mood;320;21056.184;26815.639;21490.336;7;6;7;sad
Woodkid;320;21056.445;10093.171;9417.706;0;0;3;excited
Yann Tiersen;320;17875.92;21799.898;17589.747;5;4;5;sad
Yngwie Malmsteen;192;27291.108;18623.812;10092.984;8;0;0;excited
ZZ Top;192;24797.693;25450.667;25466.487;8;0;7;happy
 Rammstein - Mein Teil ;192;28411.246;28612.692;18955.149;8;7;6;excited
 Rammstein - Amour ;192;23646.714;17956.801;13040.649;8;0;3;sad
 Rammstein - Reise, Reise ;192;27355.035;24577.747;17311.866;8;4;4;sad
 Rammstein - Ohne Dich ;192;12566.582;12991.566;10965.528;5;0;4;sad
 Rammstein - Amerika ;192;22910.318;25012.528;22453.512;7;10;6;excited
 Rammstein - Keine Lust ;192;21465.924;24223.105;21766.174;6;8;7;excited
 Rammstein - Los ;192;22352.623;26110.222;19160.328;7;10;5;happy
 Rammstein - Dalai Lama ;192;27537.13;25994.754;20730.082;9;0;0;happy
 Rammstein & Tatu - Moskau ;192;28626.416;23727.865;18985.987;9;0;0;excited
 Rammstein - Stein Um Stein ;192;25267.359;18018.522;17958.918;0;0;0;excited
 Rammstein - Morgenstern ;320;19626.058;21512.687;10527.712;0;0;0;excited
 Ratatat - Kennedy ;320;20070.583;16241.7;17738.258;7;0;0;happy
 Ratatat - Swisha ;320;26342.237;19409.936;9100.209;8;7;3;sad
 Ratatat - Nostrand ;320;17031.748;17292.919;11844.047;0;0;1;sad
 Ratatat - Tacobel Canon ;320;23965.319;19119.562;11387.078;7;6;0;happy
 Ratatat - Montanita ;320;16111.532;18383.505;9638.95;6;0;0;happy
 Ratatat - Lex ;320;23583.795;19241.69;17762.411;7;0;0;happy
 Ratatat - Gettysburg ;320;26094.1;12052.471;9455.461;7;0;0;happy
 Ratatat - Wildcat ;320;20067.854;16785.563;9586.422;7;0;0;happy
 Ratatat - Tropicana ;320;25146.612;16528.419;14982.572;6;5;5;happy
 Ratatat - Loud Pipes ;320;15486.903;16768.308;18988.437;5;0;0;happy
 The Doors - Break on Through  ;320;16497.695;13231.672;11171.101;4;0;0;excited
 The Doors - Soul Kitchen ;320;14055.649;13629.156;11575.791;0;0;0;happy
 The Doors - The Crystal Ship ;320;21404.977;15015.968;13376.309;5;0;0;sad
 The Doors - Twentieth Century Fox ;320;17548.349;16568.733;14853.446;0;0;0;happy
 The Doors - Alabama Song  ;320;17321.636;17614.781;12147.313;4;4;3;happy
 The Doors - Light My Fire ;320;16218.269;11315.274;12431.037;5;0;0;excited
 The Doors - Back Door Man ;320;18880.013;13750.115;18539.797;0;3;5;excited
 The Doors - I Looked at You ;320;13995.198;10015.634;9002.288;3;0;0;excited
 The Doors - End of the Night ;320;25527.313;16911.656;15254.576;6;0;0;sad
 The Doors - Take It as It Comes ;320;15322.853;9325.214;7316.216;0;0;0;sad
 The Doors - The End ;320;21265.666;14522.183;10417.631;5;0;0;sad
 The Doors - Moonlight Drive [*][Version 1] ;320;17456.453;19316.555;18346.077;0;0;0;happy
 The Doors - Moonlight Drive [*][Version 2] ;320;19065.545;11777.469;8353.748;4;1;0;happy
 The Doors - Indian Summer [*][Vocal Version] ;128;17177.614;22863.717;16989.774;6;5;6;sad
 The Fratellis - Henrietta ;128;18744.432;22831.368;15395.381;6;1;0;excited
 The Fratellis - Flathead ;128;18932.131;17586.465;13212.544;0;0;0;excited
 The Fratellis - Whistle for the Choir ;128;18715.258;24137.825;18542.123;6;4;0;happy
 The Fratellis - Chelsea Dagger ;128;25568.503;26075.482;19236.63;7;8;6;excited
 The Fratellis - The Gutterati ;128;19100.609;24375.863;13607.548;6;6;4;excited
 The Fratellis - For the Girl ;128;17871.566;21478.323;16980.252;0;0;0;excited
 The Fratellis - Doginabag ;128;15406.038;26021.595;19274.092;5;7;0;happy
 The Fratellis - Creepin Up the Backstairs ;128;26116.226;21789.479;16420.858;8;0;0;excited
 The Fratellis - Vince the Loveable Stoner ;128;16316.779;25356.525;13568.685;6;8;5;happy
 The Fratellis - Everybody Knows You Cried Last Night ;128;22566.977;20800.27;15132.19;7;0;0;excited
 The Fratellis - Baby Fratelli ;128;19250.511;22257.668;17992.861;7;0;0;happy
 The Fratellis - Got Ma Nuts from a Hippy ;128;23526.351;19118.916;14246.011;7;0;0;excited
 The Fratellis - Ole Black 'N' Blue Eyes ;160;26481.642;19905.41;9503.968;7;0;3;happy
 U2 - One ;192;26749.5;21300.987;15477.382;8;0;0;happy
U2 - Stay;128;19358.044;24827.748;17302.445;6;6;6;sad
 U2 - Vertigo ;128;23189.324;18795.886;11625.992;6;6;3;excited
 U2 - With Or Without You ;160;16511.461;16470.655;10369.783;5;0;0;happy
 U2 - Wild Honey ;128;25240.749;17328.945;11518.603;0;0;0;happy
U2 - Beatiful day;128;20697.443;22344.89;13814.562;5;8;2;happy
U2 - Elevation;232;23461.444;22129.067;15547.659;6;6;6;excited
U2 - I still haven't found;128;20750.255;14857.016;11052.26;4;0;0;happy
 U2 - Kite ;;;;;;;;sad
